"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6855","ENSMUSG00000027508",879.211688106721,-0.439299974836709,0.113818757370292,-3.85964479833067,0.000113551957392752,0.000361014056807825
"6856","ENSMUSG00000095519",12.8062282638727,-5.55927675121577,1.44037673470434,-3.85959910158983,0.000113573192378833,0.000361028902378106
"6857","ENSMUSG00000062007",29.4882595890461,-1.90612534374201,0.493875175492641,-3.85952855767785,0.000113605981042395,0.00036108046534023
"6858","ENSMUSG00000019864",699.799524174559,0.324528226524611,0.0840870603339607,3.85943122801193,0.00011365123432649,0.0003611716245132
"6859","ENSMUSG00000020305",528.099676883294,-0.280039958621815,0.0725606359547245,-3.85939228532328,0.000113669345433861,0.000361176514708495
"6860","ENSMUSG00000048174",279.011103587071,-0.307004140600443,0.079548756487005,-3.8593204238283,0.00011370277326361,0.000361177414444995
"6861","ENSMUSG00000043592",15.1312298481397,-2.37340700817102,0.614975035194486,-3.85935505076304,0.000113686664686311,0.000361177414444995
"6862","ENSMUSG00000021418",270.527991126353,0.345957002206822,0.0896564295650341,3.85869707153433,0.000113993127514639,0.000362046957308953
"6863","ENSMUSG00000062762",4396.94033051869,0.155189732931469,0.0402192981334773,3.85858879029752,0.000114043635587696,0.000362154596240455
"6864","ENSMUSG00000052632",1479.93096283728,0.258886276620327,0.0671210228077124,3.8570073248434,0.000114783723992717,0.000364451701733286
"6865","ENSMUSG00000025133",1918.1930008173,0.181410700503583,0.0470428877352146,3.85628326059979,0.000115124078551832,0.000365479121334104
"6866","ENSMUSG00000035842",283.426180854187,-0.479209214907711,0.124274021049834,-3.85606911934996,0.00011522492029534,0.000365745982073499
"6867","ENSMUSG00000117284",600.630597172451,-0.235996816529208,0.0612044716646448,-3.85587539783525,0.000115316217900342,0.00036598247457697
"6868","ENSMUSG00000092086",2246.9178347507,-0.315297427149962,0.0817881688941389,-3.85504934776156,0.00011570628729569,0.000367166980972958
"6869","ENSMUSG00000001785",1029.9544075588,-0.168806603332475,0.0438014688397978,-3.85390279832576,0.000116249762458414,0.000368837869124862
"6870","ENSMUSG00000027399",14.2897193631464,-1.33847400514593,0.347397378997938,-3.85286155297641,0.000116745407576635,0.000370356537514582
"6871","ENSMUSG00000100121",25.9295745585485,-1.33639311836329,0.346874802583836,-3.85266703839147,0.000116838219464746,0.000370597024452724
"6872","ENSMUSG00000028549",172.376952190353,0.407450808534572,0.105764373411399,3.85243910962042,0.000116947063341783,0.000370888285574917
"6873","ENSMUSG00000095682",9.70035488814263,-6.84442571611569,1.77684511107684,-3.85201032630677,0.000117152081404992,0.000371484426326261
"6874","ENSMUSG00000027854",2317.46485342106,-0.174964122682349,0.0454294131944867,-3.85134014241642,0.000117473201527868,0.000372448494922659
"6875","ENSMUSG00000098188",4401.3389608147,0.357298287989682,0.0927802294753729,3.85101750674719,0.000117628088950036,0.000372885319356666
"6876","ENSMUSG00000018858",1086.77225667883,0.275120428467068,0.0714473024673863,3.85067621821905,0.000117792140623023,0.000373351063516312
"6877","ENSMUSG00000028468",2938.15018036778,0.21137791234635,0.0548996691213547,3.85025840281666,0.000117993271230632,0.000373934179613262
"6878","ENSMUSG00000110495",4.0685900051316,-4.04412709199391,1.05046803441425,-3.84983355942758,0.000118198117052276,0.000374528898377044
